location	country	country_size	rank	region	region_modifier	target_value	raw_score	special_treatment	capital_override
alisca	HCN	6	rural_settlement	pannonia_region	5	-3.000	17.292	no	0
alisutum	SUG	3	rural_settlement	germania_region	0	-3.000	11.914	no	0
altinum	VNT	14	town	cisalpine_gaul_region	15	1.000	24.371	no	0
alwa	AUT	15	town	nubia_region	5	8.000	29.439	no	0
amaseia	PON	16	town	cappadocia_pontica_region	10	-2.000	22.200	no	0
amblada	ABL	2	rural_settlement	cilicia_region	15	-3.000	12.951	no	0
ambrae	CTN	5	rural_settlement	rhaetia_region	7	-3.000	15.774	no	0
ambrakia	AMK	1	city	greece_region	30	6.000	25.701	no	0
amisos	AMS	4	town	bithynia_region	20	4.000	24.422	no	0
anaboura	MAN	4	rural_settlement	galatia_region	12	-3.000	16.518	no	0
anakopia	HNY	3	rural_settlement	colchis_region	12	-3.000	13.174	no	0
anartia	TEC	8	rural_settlement	dacia_region	5	-8.000	8.814	no	0
ancona	ANO	1	city	central_italy_region	28	7.000	26.421	no	0
andalapura	MSH	1	rural_settlement	karnata_region	23	-3.000	11.892	no	0
andecamulum	ADC	6	rural_settlement	aquitaine_region	10	-3.000	14.154	no	0
andematunnum	LNG	11	rural_settlement	central_gaul_region	10	-3.000	19.524	no	0
andhapura	ANH	16	town	vindhyaprstha_region	25	9.000	30.228	no	0
andros	ADR	3	rural_settlement	greece_region	30	-3.000	13.594	no	0
anglia_centralis	ANG	4	rural_settlement	scandinavia_region	0	-3.000	10.871	no	0
angustia	TYR	2	rural_settlement	dacia_region	5	-3.000	11.800	no	0
ani_1	AR2	34	town	cappadocia_pontica_region	10	-1.000	24.228	yes	2
anisus	BRE	2	rural_settlement	rhaetia_region	7	-3.000	11.900	no	0
ansibaria	AGR	3	rural_settlement	germania_region	0	-3.000	11.567	no	0
antigoneia	PRY	204	city	syria_region	25	9.000	35.981	yes	7
anuradhapura	ANU	14	town	dravida_region	25	5.000	27.003	no	0
apocopa	APC	1	town	punt_region	5	1.000	20.623	no	0
apollonia	APO	1	city	macedonia_region	25	0.000	21.256	no	0
apollonia_pontike	APL	3	town	thrace_region	20	-5.000	17.527	no	0
appiara	MOE	18	rural_settlement	moesia_region	15	-3.000	19.999	no	0
apsaros_1	ASP	1	rural_settlement	illyria_region	9	-3.000	14.202	no	0
apulum	APP	12	town	dacia_region	5	-3.000	20.656	no	0
aquae_tarbellicae	TRB	5	rural_settlement	aquitaine_region	10	-3.000	14.024	no	0
aquincum	EVS	17	rural_settlement	pannonia_region	5	-3.000	19.183	no	0
aracaeli	VAD	7	rural_settlement	tarraconensis_region	15	-3.000	13.586	no	0
aracillum	BLN	3	rural_settlement	gallaecia_region	10	-3.000	11.629	no	0
arados	ARA	6	town	syria_region	25	5.000	25.443	no	0
arakan	AKN	5	rural_settlement	burma_region	5	-3.000	16.630	no	0
arambys	MGD	1	town	atlas_region	0	-1.000	19.167	no	0
aravorum	PAE	5	rural_settlement	lusitania_region	10	-3.000	12.339	no	0
arbela	ADI	11	town	assyria_region	15	2.000	24.600	no	0
arbugae	VDL	3	rural_settlement	scandinavia_region	0	-8.000	9.000	no	0
aregelliana	HRD	3	rural_settlement	germania_region	0	-3.000	10.480	no	0
argentiolum	AMC	3	rural_settlement	gallaecia_region	10	-3.000	11.769	no	0
argos	ARG	5	town	greece_region	30	4.000	24.829	no	0
arkades	ARD	1	rural_settlement	greece_region	30	-3.000	17.887	no	0
arkatapura	TM0	2	rural_settlement	dravida_region	25	-3.000	16.590	no	0
armaouira	ARM	95	city	armenia_region	10	1.000	29.079	yes	5
aromata	AMO	1	town	punt_region	5	4.000	22.661	no	0
arpi	ARP	5	town	magna_graecia_region	28	1.000	22.876	no	0
arronia	ARR	3	rural_settlement	gallaecia_region	10	-3.000	11.769	no	0
artabron_limen	NRI	3	rural_settlement	gallaecia_region	10	-3.000	11.769	no	0
artanes	BIT	4	rural_settlement	bithynia_region	20	-3.000	20.566	no	0
arunda	CIP	7	town	baetica_region	18	1.000	22.839	no	0
arykanda	AKY	2	town	cilicia_region	15	-7.000	16.114	no	0
arzeila	KUS	1	town	mauretainia_region	5	-3.000	17.320	no	0
ascaucalis	BUR	4	rural_settlement	venedia_region	0	-8.000	6.083	no	0
asido	LSC	1	rural_settlement	baetica_region	18	-3.000	15.027	no	0
askrebion	ABI	4	rural_settlement	illyria_region	9	-3.000	11.950	no	0
assegonia	SLN	2	rural_settlement	gallaecia_region	10	-3.000	12.010	no	0
astakos	AST	1	town	bithynia_region	20	4.000	22.778	no	0
astigi	ASG	6	town	baetica_region	18	-2.000	20.497	no	0
asturicia	BDU	4	rural_settlement	gallaecia_region	10	-3.000	12.160	no	0
athani	KUN	22	town	aparanta_region	27	5.000	27.899	no	0
athens	ATH	7	city	greece_region	30	12.000	31.956	no	0
atura	TRS	3	rural_settlement	aquitaine_region	10	-3.000	13.164	no	0
aufidena	MRS	3	rural_settlement	central_italy_region	28	-3.000	19.361	no	0
augemmi	GIN	10	rural_settlement	africa_region	20	-3.000	15.654	no	0
augila	NAS	12	town	fezzan_region	0	-1.000	23.168	no	0
augustobona	TRC	6	rural_settlement	central_gaul_region	10	-3.000	13.523	no	0
augustodunum	AED	12	rural_settlement	central_gaul_region	10	-3.000	13.832	no	0
augustodurum	ESV	3	rural_settlement	armorica_region	10	-3.000	12.684	no	0
aulercorum	EBV	7	rural_settlement	armorica_region	10	-3.000	18.421	no	0
auso	AUI	6	rural_settlement	tarraconensis_region	15	-3.000	13.933	no	0
autenia	NAG	4	rural_settlement	caledonia_region	0	-3.000	11.186	no	0
autenia_australis	ATN	3	rural_settlement	caledonia_region	0	-8.000	7.395	no	0
autricum	CRN	10	rural_settlement	armorica_region	10	-3.000	14.454	no	0
avaricum	BGT	15	town	central_gaul_region	10	1.000	24.651	no	0
avila	CLU	5	rural_settlement	lusitania_region	10	-3.000	12.339	no	0
avionia_maior	AVO	3	rural_settlement	scandinavia_region	0	-3.000	10.905	no	0
aykudi	AYY	5	town	karnata_region	23	7.000	26.906	no	0
bactra	BAC	90	city	bactriana_region	15	9.000	34.010	yes	5
baemia	BOA	15	rural_settlement	bohemia_region	0	-3.000	12.524	no	0
bagacum	NRV	10	rural_settlement	belgica_region	10	-3.000	19.512	no	0
bagan	DRY	2	rural_settlement	punt_region	5	-3.000	15.259	no	0
bambyce	BMB	4	town	syria_region	25	1.000	22.488	no	0
bao	TIM	2	rural_settlement	moesia_s_region	5	-3.000	11.800	no	0
baqbaqah	DOC	6	rural_settlement	nubia_region	5	-3.000	14.577	no	0
barium	APU	5	town	magna_graecia_region	28	2.000	23.300	no	0
barskhan	SOG	23	town	sogdiana_region	0	1.000	25.402	no	0
basivka	BDI	26	rural_settlement	borysthenia_region	0	-3.000	20.549	no	0
basti	BAI	9	town	contestania_region	15	-2.000	21.059	no	0
batavis	COS	3	rural_settlement	rhaetia_region	7	-3.000	14.385	no	0
beikthano	BKT	1	rural_settlement	burma_region	5	-3.000	12.388	no	0
belgola	TA1	3	town	karnata_region	23	5.000	24.696	no	0
berenike_pancrysia	BMY	32	rural_settlement	lower_nubia_region	0	-3.000	16.787	no	0
bergidum_flavium	SPT	3	rural_settlement	gallaecia_region	10	-3.000	12.373	no	0
bhojakata	PLD	19	town	vindhyaprstha_region	25	-4.000	20.679	no	0
binnaka	BNN	2	rural_settlement	burma_region	5	-3.000	12.275	no	0
birka	SWE	5	rural_settlement	scandinavia_region	0	-8.000	10.062	no	0
bistua_nova	DUI	4	rural_settlement	illyria_region	9	-3.000	15.245	no	0
blagoveshchenskaya	MLN	19	rural_settlement	borysthenia_region	0	-3.000	22.568	no	0
bletsima	BLT	8	rural_settlement	lusitania_region	10	-3.000	14.583	no	0
bocouriqua	CLO	4	rural_settlement	lusitania_region	10	-3.000	12.904	no	0
bonna	CAE	3	rural_settlement	belgica_region	10	-3.000	16.118	no	0
bononia	BOI	9	town	cisalpine_gaul_region	15	-3.000	20.597	no	0
borysthenia	SCY	47	town	taurica_region	5	-1.000	25.417	yes	3
boumia	CET	10	rural_settlement	atlas_region	0	-3.000	15.715	no	0
bovianum	SAM	11	town	magna_graecia_region	28	8.000	28.375	no	0
bracara_augusta	BRC	3	rural_settlement	lusitania_region	10	-3.000	16.394	no	0
bravum	MRC	3	rural_settlement	tarraconensis_region	15	-3.000	11.769	no	0
brigantia_australis	BGA	2	rural_settlement	caledonia_region	0	-3.000	12.739	no	0
brigantium	BRG	4	rural_settlement	rhaetia_region	7	-3.000	16.009	no	0
brigensium	COC	1	rural_settlement	tarraconensis_region	15	-3.000	11.160	no	0
buca	FRE	4	town	central_italy_region	28	1.000	22.153	no	0
buridava	BUD	10	town	dacia_region	5	-2.000	21.502	no	0
burrium	SIR	4	rural_settlement	britain_region	10	-3.000	11.081	no	0
byblos	BYB	3	town	syria_region	25	6.000	25.574	no	0
byzantion	BYZ	5	town	thrace_region	20	2.000	23.314	no	0
cadota	JJE	3	town	himalayan_region	5	-1.000	21.150	no	0
caelius_mons	TIG	7	rural_settlement	rhaetia_region	7	-3.000	13.726	no	0
caesarodunum	TRO	9	rural_settlement	armorica_region	10	-3.000	19.152	no	0
caesaromagus	BLV	4	rural_settlement	belgica_region	10	-3.000	12.934	no	0
caetobriga	SFI	7	rural_settlement	lusitania_region	10	-3.000	14.377	no	0
caiellum	AVG	2	rural_settlement	gallaecia_region	10	-3.000	13.099	no	0
calagurris_iulia	VSC	11	rural_settlement	tarraconensis_region	15	-3.000	16.952	no	0
caledonii	CAL	3	rural_settlement	caledonia_region	0	-3.000	11.215	no	0
callatis	KTS	3	town	moesia_region	15	8.000	26.992	no	0
caluconia	MCM	2	rural_settlement	germania_region	0	-8.000	8.583	no	0
camarica	VDI	3	rural_settlement	gallaecia_region	10	-3.000	12.513	no	0
cambodunum	ESO	5	rural_settlement	rhaetia_region	7	-3.000	17.103	no	0
camulodunum	TRI	7	town	britain_region	10	-3.000	19.703	no	0
candulum	QUA	2	rural_settlement	germania_region	0	-3.000	13.112	no	0
canovium	DEC	2	rural_settlement	britain_region	10	-3.000	10.327	no	0
capera	IGD	4	rural_settlement	lusitania_region	10	-3.000	12.020	no	0
capsa	ATA	4	rural_settlement	fezzan_region	0	-3.000	13.189	no	0
caranicum	COP	4	rural_settlement	gallaecia_region	10	-3.000	13.044	no	0
caranusca	TVI	22	rural_settlement	belgica_region	10	-3.000	17.543	no	0
carmo	CRM	7	town	baetica_region	18	1.000	23.269	no	0
carnium	KRN	3	rural_settlement	pannonia_region	5	-3.000	19.696	no	0
carnonacae	CAN	3	rural_settlement	caledonia_region	0	-8.000	8.095	no	0
carthago	CAR	100	city	africa_region	20	14.000	38.887	yes	8
carvium	BRU	7	rural_settlement	germania_region	0	-3.000	13.292	no	0
castellum	MNP	9	rural_settlement	belgica_region	10	-3.000	14.778	no	0
castellum_meidunium	INT	3	rural_settlement	gallaecia_region	10	-3.000	11.629	no	0
castra_arcidava	ABN	4	rural_settlement	dacia_region	5	-3.000	13.495	no	0
castra_bistrita	POT	10	rural_settlement	dacia_region	5	-3.000	14.409	no	0
castra_cecilia	EBL	5	rural_settlement	lusitania_region	10	-3.000	11.470	no	0
castra_regina	RUC	3	rural_settlement	rhaetia_region	7	-3.000	13.315	no	0
castulo	ORT	12	town	baetica_region	18	2.000	24.533	no	0
caucia	ELA	4	rural_settlement	caledonia_region	0	-3.000	11.119	no	0
celeia	TSC	10	rural_settlement	pannonia_region	5	-3.000	14.269	no	0
chabala	ALB	32	rural_settlement	albania_region	0	-3.000	16.454	no	0
chakrakot	IDR	7	town	vindhyaprstha_region	25	-3.000	19.891	no	0
chalcedon	CDD	2	town	bithynia_region	20	9.000	26.743	no	0
chaleion	AMP	1	rural_settlement	greece_region	30	-3.000	16.690	no	0
chattuaria	UBI	8	rural_settlement	germania_region	0	-3.000	12.214	no	0
cherchen	QIM	2	town	himalayan_region	5	3.000	22.533	no	0
chersonesos	CHS	4	town	taurica_region	5	8.000	27.122	no	0
chersonesos_vanavasi	TA4	3	town	karnata_region	23	5.000	25.260	no	0
chongye	YRL	13	rural_settlement	tibet_region	0	-3.000	16.464	no	0
chrononia	AES	5	rural_settlement	venedia_region	0	-8.000	8.454	no	0
cimbria_australis	CMB	5	rural_settlement	scandinavia_region	0	-8.000	9.709	no	0
cirta	MSY	42	town	numidia_region	12	5.000	29.373	yes	5
clavenna	LPO	7	rural_settlement	rhaetia_region	7	-3.000	17.221	no	0
clepidava	TYG	9	rural_settlement	scythia_region	0	-3.000	12.175	no	0
colapattinam	T10	1	rural_settlement	dravida_region	25	-3.000	15.690	no	0
conbaristum	NMN	7	rural_settlement	armorica_region	10	-3.000	13.757	no	0
condate_arvernorum	RUT	5	rural_settlement	transalpine_gaul_region	13	-3.000	13.734	no	0
condate_redonum	RDO	5	rural_settlement	armorica_region	10	-3.000	13.083	no	0
conimbriga	TDT	8	rural_settlement	lusitania_region	10	-3.000	18.263	no	0
consentia	BRT	3	rural_settlement	magna_graecia_region	28	-3.000	18.028	no	0
consoranni	CNS	3	rural_settlement	transalpine_gaul_region	13	-3.000	12.684	no	0
corfinium	PEL	3	rural_settlement	central_italy_region	28	-3.000	17.969	no	0
corinium	DOB	13	rural_settlement	britain_region	10	-3.000	13.891	no	0
coriondia_australis	COR	2	rural_settlement	caledonia_region	0	-8.000	7.451	no	0
coriondia_borealis	MNA	3	rural_settlement	caledonia_region	0	-3.000	10.588	no	0
coriosolitum	CIO	4	rural_settlement	armorica_region	10	-3.000	13.044	no	0
cornavii	CON	2	rural_settlement	caledonia_region	0	-8.000	7.451	no	0
cossium	VCT	4	rural_settlement	aquitaine_region	10	-3.000	16.009	no	0
couneia	CNU	6	rural_settlement	baetica_region	18	-3.000	13.492	no	0
croton	CRO	1	city	magna_graecia_region	28	8.000	26.934	no	0
crouciaconnum	VNL	8	rural_settlement	armorica_region	10	-3.000	13.792	no	0
cularo	CUT	4	rural_settlement	transalpine_gaul_region	13	-3.000	15.068	no	0
cydamus	PHZ	10	town	fezzan_region	0	3.000	24.649	no	0
dadybra	KAK	3	rural_settlement	bithynia_region	20	-3.000	13.182	no	0
damasia	VNN	4	rural_settlement	rhaetia_region	7	-3.000	15.723	no	0
damnonii	DNN	6	rural_settlement	caledonia_region	0	-8.000	8.934	no	0
damoh	ATV	18	town	madhyadesa_region	30	3.000	26.343	no	0
dedan	LHY	24	rural_settlement	arabia_region	5	-3.000	17.706	no	0
delminion	DLM	9	rural_settlement	illyria_region	9	-3.000	14.708	no	0
delos	DEL	9	town	greece_region	30	2.000	24.189	no	0
delphi	DLP	1	city	greece_region	30	6.000	25.552	no	0
dertosa	ICV	8	town	tarraconensis_region	15	1.000	23.666	no	0
devagiri	BOJ	11	town	aparanta_region	27	0.000	23.191	no	0
devaprayaga	NBA	8	town	madhyadesa_region	30	7.000	27.665	no	0
devona	NMI	6	rural_settlement	bohemia_region	0	-3.000	13.813	no	0
diablintum	DBL	2	rural_settlement	armorica_region	10	-3.000	12.958	no	0
didunia	NAH	2	rural_settlement	bohemia_region	0	-8.000	8.286	no	0
dierna	SLD	6	rural_settlement	dacia_region	5	-3.000	16.711	no	0
dighavapi	RHN	10	town	dravida_region	25	-4.000	20.156	no	0
dinogetia	HRP	11	rural_settlement	scythia_region	0	-3.000	15.748	no	0
dioscoridus	DIO	1	town	punt_region	5	-3.000	17.494	no	0
divodurum	MDM	12	rural_settlement	germania_superior_region	7	-3.000	18.516	no	0
djanet	ATL	1	rural_settlement	fezzan_region	0	-3.000	9.095	no	0
dolaucothi	DEM	5	rural_settlement	britain_region	10	-3.000	13.814	no	0
dulgia	CHA	4	rural_settlement	germania_region	0	-3.000	13.630	no	0
durocatalaunum	CTL	5	rural_settlement	belgica_region	10	-3.000	12.339	no	0
durocortorum	RMI	6	rural_settlement	belgica_region	10	-3.000	12.608	no	0
durotincum	LMV	17	rural_settlement	aquitaine_region	10	-3.000	16.235	no	0
durovernum	CAT	6	town	britain_region	10	0.000	22.246	no	0
dyruzh	SA4	5	rural_settlement	sakia_region	0	-3.000	11.849	no	0
dysopon	PSY	5	rural_settlement	cyrenaica_region	13	-3.000	11.771	no	0
eblana	CAU	3	rural_settlement	caledonia_region	0	-8.000	9.842	no	0
ebora	CLC	11	rural_settlement	lusitania_region	10	-3.000	18.988	no	0
eboracum	PAS	3	rural_settlement	britain_region	10	-3.000	14.712	no	0
ebura	EBI	9	rural_settlement	baetica_region	18	-3.000	13.163	no	0
eburodunum	CTR	4	rural_settlement	transalpine_gaul_region	13	-3.000	15.776	no	0
ebusus	IBA	1	town	contestania_region	15	3.000	22.154	no	0
edeta	EDT	6	rural_settlement	contestania_region	15	-3.000	14.294	no	0
ein	EIN	1	rural_settlement	lower_nubia_region	0	-8.000	8.067	no	0
elateia	PHO	1	rural_settlement	greece_region	30	-3.000	16.975	no	0
elimberrum	ASC	5	rural_settlement	aquitaine_region	10	-3.000	16.375	no	0
elis	ELI	2	city	greece_region	30	7.000	26.957	no	0
elotana	DEI	6	rural_settlement	contestania_region	15	-3.000	13.492	no	0
elysia	HEL	4	rural_settlement	venedia_region	0	-8.000	6.223	no	0
emporiae	EPO	3	town	tarraconensis_region	15	8.000	26.450	no	0
eowia	GIT	5	rural_settlement	scandinavia_region	0	-3.000	11.457	no	0
epidamnos	TLN	7	town	macedonia_region	25	-2.000	20.952	no	0
epidauros	EPD	1	city	greece_region	30	0.000	21.918	no	0
epidauros_illyrikos	EPM	2	town	illyria_region	9	-1.000	19.711	no	0
epora	EPR	5	town	baetica_region	18	3.000	23.832	no	0
eudosia_australis	CHD	4	rural_settlement	scandinavia_region	0	-3.000	10.871	no	0
fao	DAB	5	rural_settlement	nubia_region	5	-3.000	15.597	no	0
figuig	DPH	11	rural_settlement	atlas_region	0	-3.000	15.372	no	0
finnaithae	FAV	5	rural_settlement	scandinavia_region	0	-8.000	9.709	no	0
flavionavia	LGO	2	rural_settlement	gallaecia_region	10	-3.000	12.010	no	0
flevum	SXS	4	rural_settlement	germania_region	0	-3.000	14.006	no	0
forum_limicorum	TMG	1	rural_settlement	gallaecia_region	10	-3.000	14.312	no	0
gabrosentum	CAV	4	rural_settlement	britain_region	10	-3.000	12.694	no	0
gadir_0	GAD	3	town	baetica_region	18	6.000	25.958	no	0
gadir_1	AGG	1	town	atlas_region	0	-1.000	19.405	no	0
galetia_occidentalis	CLT	4	rural_settlement	belgica_region	10	-3.000	13.555	no	0
galindia_occidentalis	VND	7	rural_settlement	venedia_region	0	-3.000	15.084	no	0
gamal	RHZ	5	rural_settlement	nubia_region	5	-3.000	14.777	no	0
ganga	TM1	4	town	karnata_region	23	4.000	24.063	no	0
gangania_australis	GAN	5	rural_settlement	caledonia_region	0	-8.000	8.104	no	0
gangra	PAP	17	town	bithynia_region	20	-1.000	22.921	no	0
garama	GAR	30	town	fezzan_region	0	5.000	28.109	no	0
gathar	PSS	8	rural_settlement	parthia_region	18	-3.000	18.206	no	0
gazaka	MAP	66	town	media_region	20	1.000	26.969	yes	4
gela	GEL	1	town	magna_graecia_region	28	6.000	24.315	no	0
gelon	GLO	11	town	borysthenia_region	0	-2.000	21.801	no	0
gemellae	GAE	18	rural_settlement	numidia_region	12	-3.000	17.439	no	0
genua	GUN	4	town	cisalpine_gaul_region	15	1.000	22.228	no	0
gerrha	GRH	14	town	arabia_region	5	11.000	32.289	no	0
ghardaia	MGU	19	rural_settlement	atlas_region	0	-3.000	17.314	no	0
gidheys	BER	4	town	punt_region	5	1.000	22.494	no	0
gortyna	GRT	2	town	greece_region	30	10.000	27.816	no	0
gramera	KRP	20	town	burma_region	5	-1.000	23.351	no	0
gran	SCA	24	rural_settlement	sakia_region	0	-3.000	17.593	no	0
griselica	ABC	4	rural_settlement	transalpine_gaul_region	13	-3.000	19.059	no	0
grumentum	LCA	6	rural_settlement	magna_graecia_region	28	-3.000	17.043	no	0
gwara	GWN	9	rural_settlement	punt_region	5	-3.000	19.835	no	0
hadrametum	HDR	1	city	africa_region	20	6.000	25.708	no	0
hajir	AX0	7	rural_settlement	arabia_region	5	-3.000	17.361	no	0
halikarnassos	HKS	2	city	asia_region	25	4.000	25.363	no	0
halin	HAL	2	town	burma_region	5	-3.000	18.144	no	0
harenatium	EBS	11	rural_settlement	belgica_region	10	-3.000	19.471	no	0
hasta_0	ASA	6	town	baetica_region	18	0.000	22.160	no	0
helveconiana	GTH	5	rural_settlement	venedia_region	0	-3.000	12.115	no	0
hemeroskopeion	HMK	2	town	contestania_region	15	5.000	24.349	no	0
heraclea	HCL	2	city	magna_graecia_region	28	5.000	25.801	no	0
heraclea_minoa	HEM	1	city	magna_graecia_region	28	4.000	24.512	no	0
herakleia_pontike	HCP	3	town	bithynia_region	20	5.000	24.527	no	0
hermione	HRM	1	town	greece_region	30	1.000	20.832	no	0
herulia_centralis	EUD	4	rural_settlement	scandinavia_region	0	-3.000	12.654	no	0
hierapytna	IEP	1	town	greece_region	30	9.000	26.845	no	0
hipponium	HPO	1	town	magna_graecia_region	28	7.000	25.064	no	0
histria	ISO	6	town	moesia_region	15	5.000	25.551	no	0
hnaw_kan	HWK	2	rural_settlement	burma_region	5	-3.000	13.170	no	0
homonadeis	HMD	2	rural_settlement	galatia_region	12	-3.000	14.841	no	0
hygreis	IAZ	43	rural_settlement	taurica_region	5	-3.000	21.185	yes	1
iazygiana	TOL	6	rural_settlement	pannonia_region	5	-3.000	15.057	no	0
ilerda	ILG	9	rural_settlement	tarraconensis_region	15	-3.000	13.163	no	0
iligh	LXT	11	rural_settlement	atlas_region	0	-3.000	16.147	no	0
ilion	TRD	12	town	asia_region	25	3.000	24.830	no	0
ilipla	ILP	5	town	baetica_region	18	1.000	22.765	no	0
insula_anglorum	HRE	3	rural_settlement	scandinavia_region	0	-3.000	15.713	no	0
interamnia	SAB	3	rural_settlement	central_italy_region	28	-3.000	19.450	no	0
intercatia	VCI	11	rural_settlement	gallaecia_region	10	-3.000	14.436	no	0
iol	IOL	2	town	numidia_region	12	3.000	22.922	no	0
iporca	TDL	13	town	baetica_region	18	-1.000	22.572	no	0
iram	AX6	5	town	arabia_felix_region	5	-2.000	20.794	no	0
isamnion	ULT	3	rural_settlement	caledonia_region	0	-8.000	9.490	no	0
isarnodurum	AMB	2	rural_settlement	rhaetia_region	7	-3.000	13.099	no	0
isaura	ISU	3	town	galatia_region	12	-7.000	16.195	no	0
isca_dumnoniorum	DUM	8	town	britain_region	10	3.000	24.382	no	0
isinda	ISI	2	rural_settlement	cilicia_region	15	-3.000	12.951	no	0
isinisca	ALN	10	rural_settlement	rhaetia_region	7	-3.000	15.513	no	0
issa	PHA	4	town	illyria_region	9	2.000	22.926	no	0
issyk	WUS	37	rural_settlement	sogdiana_region	0	-3.000	20.928	yes	1
isurium	BRI	16	rural_settlement	britain_region	10	-3.000	16.060	no	0
italica	IPT	5	town	baetica_region	18	-1.000	21.286	no	0
iuncaria	IDK	7	rural_settlement	tarraconensis_region	15	-3.000	14.745	no	0
ivernia	IVE	5	rural_settlement	caledonia_region	0	-8.000	10.059	no	0
jebel_moya	MOY	9	rural_settlement	nubia_region	5	-3.000	21.468	no	0
jerusalem	JUD	6	town	palestine_region	20	5.000	26.361	no	0
jubbah	AX5	1	town	arabia_region	5	-4.000	16.550	no	0
kabyle	KAB	2	rural_settlement	thrace_region	20	-3.000	14.491	no	0
kach_kouch	SOC	10	rural_settlement	mauretainia_region	5	-3.000	15.513	no	0
kadinava	TM5	3	rural_settlement	dravida_region	25	-3.000	13.175	no	0
kahl	AX1	5	town	arabia_region	5	-3.000	19.651	no	0
kalinganagara	KAL	30	town	vindhyaprstha_region	25	9.000	31.481	no	0
kalligeris	TA8	3	rural_settlement	karnata_region	23	-3.000	18.788	no	0
kalyani	MLY	6	town	dravida_region	25	-3.000	20.246	no	0
karmana	CAM	24	city	ariana_region	10	6.000	30.060	no	0
karmanta	SMT	16	town	burma_region	5	2.000	24.982	no	0
karna	MIN	26	town	arabia_felix_region	5	8.000	29.984	no	0
karur	KSR	9	town	dravida_region	25	-1.000	22.743	no	0
kashgar	SHU	7	town	himalayan_region	5	6.000	27.201	no	0
kastabala	CAS	3	town	cilicia_region	15	-1.000	20.976	no	0
katys	ROX	30	rural_settlement	taurica_region	5	-3.000	19.875	no	0
kaynbulak	SA0	58	rural_settlement	central_asian_steppes_region	0	-3.000	21.489	yes	2
kefalonia	KEF	2	rural_settlement	greece_region	30	-3.000	17.684	no	0
keili	MEM	5	rural_settlement	nubia_region	5	-3.000	15.487	no	0
kelenderis	KLD	3	town	cilicia_region	15	-1.000	21.081	no	0
kerasous	KRS	2	rural_settlement	cappadocia_pontica_region	10	-3.000	13.255	no	0
kerkouane	KUA	2	city	africa_region	20	2.000	24.012	no	0
kezhen	PHY	11	town	himalayan_region	5	-4.000	19.844	no	0
khoubana	ABA	11	rural_settlement	atlas_region	0	-3.000	15.105	no	0
khulor	MAE	7	rural_settlement	taurica_region	5	-3.000	14.458	no	0
