source	target	relation	source_group	target_group	reason
ir_illyrian_pantheon	ir_roman_pantheon	kindred	ir_hellenic_group	ir_hellenic_group	same_group_kindred
ir_indo_iranian_religion	ir_anahitic_religion	positive	ir_indo_iranian_group	ir_zoroastrian_group	group_positive
ir_italic_pantheon	ir_carthaginian_pantheon	positive	ir_hellenic_group	ir_canaanite_group	group_positive
ir_italic_pantheon	ir_hatti_religion	positive	ir_hellenic_group	ir_anatolian_group	group_positive
ir_italic_pantheon	ir_illyrian_pantheon	kindred	ir_hellenic_group	ir_hellenic_group	same_group_kindred
ir_italic_pantheon	ir_roman_pantheon	kindred	ir_hellenic_group	ir_hellenic_group	same_group_kindred
ir_jainism	ir_agama	kindred	ir_dharmic_group	ir_dharmic_group	same_group_kindred
ir_jainism	ir_ajivika	kindred	ir_dharmic_group	ir_dharmic_group	same_group_kindred
ir_jainism	ir_buddhism	positive	ir_dharmic_group	ir_buddhist_group	group_positive
ir_jainism	ir_hindu	kindred	ir_dharmic_group	ir_dharmic_group	same_group_kindred
ir_judaism	ir_carthaginian_pantheon	negative	ir_israelite_group	ir_canaanite_group	pair_override
ir_judaism	ir_roman_pantheon	positive	ir_israelite_group	ir_hellenic_group	pair_override
ir_matrist_religion	ir_bon_religion	kindred	ir_eastern_animist_group	ir_eastern_animist_group	same_group_kindred
ir_matrist_religion	ir_burmese_religion	kindred	ir_eastern_animist_group	ir_eastern_animist_group	same_group_kindred
ir_matrist_religion	ir_chinese_religions	kindred	ir_eastern_animist_group	ir_eastern_animist_group	same_group_kindred
ir_matrist_religion	ir_eastern_animism	kindred	ir_eastern_animist_group	ir_eastern_animist_group	same_group_kindred
ir_matrist_religion	ir_shamanism	positive	ir_eastern_animist_group	ir_shamanic_group	group_positive
ir_mesopotamian_religion	ir_hatti_religion	positive	ir_mesopotamian_group	ir_anatolian_group	group_positive
ir_mesopotamian_religion	ir_hurrian_pantheon	kindred	ir_mesopotamian_group	ir_mesopotamian_group	same_group_kindred
ir_mesopotamian_religion	ir_mithra_religion	positive	ir_mesopotamian_group	ir_zoroastrian_group	group_positive
ir_mesopotamian_religion	ir_roman_pantheon	positive	ir_mesopotamian_group	ir_hellenic_group	pair_override
ir_mesopotamian_religion	ir_zoroaster	positive	ir_mesopotamian_group	ir_zoroastrian_group	pair_override
ir_mithra_religion	ir_anahitic_religion	kindred	ir_zoroastrian_group	ir_zoroastrian_group	same_group_kindred
ir_mithra_religion	ir_indo_iranian_religion	positive	ir_zoroastrian_group	ir_indo_iranian_group	group_positive
ir_mithra_religion	ir_mesopotamian_religion	positive	ir_zoroastrian_group	ir_mesopotamian_group	group_positive
ir_mithra_religion	ir_vaksh_religion	kindred	ir_zoroastrian_group	ir_zoroastrian_group	same_group_kindred
ir_mithra_religion	ir_zoroaster	kindred	ir_zoroastrian_group	ir_zoroastrian_group	same_group_kindred
ir_nilotic_pantheon	ir_berber_religion	positive	ir_egyptian_group	ir_berber_group	group_positive
ir_nilotic_pantheon	ir_carthaginian_pantheon	positive	ir_egyptian_group	ir_canaanite_group	group_positive
ir_nilotic_pantheon	ir_egyptian_pantheon	kindred	ir_egyptian_group	ir_egyptian_group	same_group_kindred
ir_nilotic_pantheon	ir_puntic_religion	kindred	ir_egyptian_group	ir_egyptian_group	same_group_kindred
ir_nuragic_pantheon	ir_animism	kindred	ir_iberic_group	ir_iberic_group	same_group_kindred
ir_nuragic_pantheon	ir_druidism	positive	ir_iberic_group	ir_celtic_group	group_positive
ir_nuragic_pantheon	ir_germanic_religion	positive	ir_iberic_group	ir_germanic_group	group_positive
ir_nuragic_pantheon	ir_pre_indo_european_religion	kindred	ir_iberic_group	ir_iberic_group	same_group_kindred
ir_nuragic_pantheon	ir_uralic_pantheon	positive	ir_iberic_group	ir_shamanic_group	group_positive
ir_pre_indo_european_religion	ir_animism	kindred	ir_iberic_group	ir_iberic_group	same_group_kindred
ir_pre_indo_european_religion	ir_druidism	positive	ir_iberic_group	ir_celtic_group	group_positive
ir_pre_indo_european_religion	ir_germanic_religion	positive	ir_iberic_group	ir_germanic_group	group_positive
ir_pre_indo_european_religion	ir_nuragic_pantheon	kindred	ir_iberic_group	ir_iberic_group	same_group_kindred
ir_pre_indo_european_religion	ir_shamanism	positive	ir_iberic_group	ir_shamanic_group	group_positive
ir_puntic_religion	ir_berber_religion	positive	ir_egyptian_group	ir_berber_group	group_positive
ir_puntic_religion	ir_carthaginian_pantheon	positive	ir_egyptian_group	ir_canaanite_group	group_positive
ir_puntic_religion	ir_egyptian_pantheon	kindred	ir_egyptian_group	ir_egyptian_group	same_group_kindred
ir_puntic_religion	ir_nilotic_pantheon	kindred	ir_egyptian_group	ir_egyptian_group	same_group_kindred
ir_roman_pantheon	ir_anatolian_religion	positive	ir_hellenic_group	ir_anatolian_group	group_positive
ir_roman_pantheon	ir_carthaginian_pantheon	positive	ir_hellenic_group	ir_canaanite_group	pair_override
ir_roman_pantheon	ir_egyptian_pantheon	positive	ir_hellenic_group	ir_egyptian_group	pair_override
ir_roman_pantheon	ir_illyrian_pantheon	kindred	ir_hellenic_group	ir_hellenic_group	same_group_kindred
ir_roman_pantheon	ir_italic_pantheon	kindred	ir_hellenic_group	ir_hellenic_group	same_group_kindred
ir_roman_pantheon	ir_judaism	positive	ir_hellenic_group	ir_israelite_group	pair_override
ir_roman_pantheon	ir_mesopotamian_religion	positive	ir_hellenic_group	ir_mesopotamian_group	pair_override
ir_roman_pantheon	ir_zoroaster	positive	ir_hellenic_group	ir_zoroastrian_group	pair_override
ir_shamanism	ir_animism	positive	ir_shamanic_group	ir_iberic_group	group_positive
ir_shamanism	ir_bon_religion	positive	ir_shamanic_group	ir_eastern_animist_group	group_positive
ir_shamanism	ir_uralic_pantheon	kindred	ir_shamanic_group	ir_shamanic_group	same_group_kindred
ir_uralic_pantheon	ir_burmese_religion	positive	ir_shamanic_group	ir_eastern_animist_group	group_positive
ir_uralic_pantheon	ir_nuragic_pantheon	positive	ir_shamanic_group	ir_iberic_group	group_positive
ir_uralic_pantheon	ir_shamanism	kindred	ir_shamanic_group	ir_shamanic_group	same_group_kindred
ir_vaksh_religion	ir_anahitic_religion	kindred	ir_zoroastrian_group	ir_zoroastrian_group	same_group_kindred
ir_vaksh_religion	ir_hurrian_pantheon	positive	ir_zoroastrian_group	ir_mesopotamian_group	group_positive
ir_vaksh_religion	ir_indo_iranian_religion	positive	ir_zoroastrian_group	ir_indo_iranian_group	group_positive
ir_vaksh_religion	ir_mithra_religion	kindred	ir_zoroastrian_group	ir_zoroastrian_group	same_group_kindred
ir_vaksh_religion	ir_zoroaster	kindred	ir_zoroastrian_group	ir_zoroastrian_group	same_group_kindred
ir_zoroaster	ir_anahitic_religion	kindred	ir_zoroastrian_group	ir_zoroastrian_group	same_group_kindred
ir_zoroaster	ir_caucasian_religion	positive	ir_zoroastrian_group	ir_caucasian_group	pair_override
ir_zoroaster	ir_indo_iranian_religion	positive	ir_zoroastrian_group	ir_indo_iranian_group	group_positive
ir_zoroaster	ir_mesopotamian_religion	positive	ir_zoroastrian_group	ir_mesopotamian_group	pair_override
ir_zoroaster	ir_mithra_religion	kindred	ir_zoroastrian_group	ir_zoroastrian_group	same_group_kindred
ir_zoroaster	ir_roman_pantheon	positive	ir_zoroastrian_group	ir_hellenic_group	pair_override
ir_zoroaster	ir_vaksh_religion	kindred	ir_zoroastrian_group	ir_zoroastrian_group	same_group_kindred
