location	development_rank	ir_province_rank	total_pop	weighted_pop	civilization_value	road_degree	building_levels	is_port	raw_score	mapped_target
abona	rural_settlement	settlement	5.000	6.000	10.000	0	0.000	0	10.819	-3.000
abonouteichos	rural_settlement	settlement	4.000	6.000	18.000	0	1.000	1	13.126	-3.000
aborepi	town	city	10.000	18.800	21.000	0	0.000	0	18.496	1.000
aborisia	rural_settlement	settlement	2.000	1.600	0.000	0	0.000	0	4.969	-8.000
abortai	rural_settlement	settlement	13.000	19.600	23.000	0	0.000	0	17.342	-3.000
aboula	rural_settlement	settlement	4.000	3.200	26.000	0	0.000	0	9.282	-3.000
abour	rural_settlement	settlement	6.000	7.800	21.000	0	0.000	0	12.779	-3.000
abraq	rural_settlement	settlement	7.000	10.200	12.000	0	0.000	0	13.403	-3.000
abricates	rural_settlement	settlement	8.000	11.800	11.000	0	0.000	0	14.027	-3.000
abritus	rural_settlement	settlement	6.000	8.000	10.000	0	0.000	0	12.126	-3.000
absheron	rural_settlement	settlement	4.000	7.000	5.000	0	0.000	0	11.163	-3.000
abthugni	rural_settlement	settlement	8.000	14.400	24.000	0	0.000	0	15.899	-3.000
abusina	rural_settlement	settlement	6.000	7.600	11.000	0	0.000	0	11.959	-3.000
abuyya	town	city	26.000	35.800	29.000	0	0.000	0	22.279	5.000
abydos	town	city	7.000	11.800	20.000	2	1.000	1	19.113	1.000
acachia	rural_settlement	settlement	4.000	4.400	18.000	0	0.000	0	10.029	-3.000
acasta	rural_settlement	settlement	3.000	3.600	6.000	0	0.000	0	8.355	-3.000
accis	rural_settlement	settlement	5.000	5.000	8.000	0	0.000	0	9.877	-3.000
accitodunum	rural_settlement	settlement	4.000	3.200	13.000	0	0.000	0	8.372	-3.000
acelum	rural_settlement	settlement	10.000	12.200	8.000	0	0.000	0	13.977	-3.000
acerronia	rural_settlement	settlement	13.000	16.400	9.000	0	0.000	0	15.484	-3.000
achkach	rural_settlement	settlement	1.000	0.800	0.000	0	0.000	0	3.056	-8.000
achkhacsh	rural_settlement	settlement	3.000	3.600	0.000	0	0.000	0	7.935	-3.000
acholla	city	city	18.000	37.000	33.000	0	1.000	1	24.473	8.000
achroua	rural_settlement	settlement	6.000	5.200	17.000	0	0.000	0	10.678	-3.000
achtab	rural_settlement	settlement	3.000	2.400	0.000	0	0.000	0	6.364	-8.000
achuk	rural_settlement	settlement	1.000	0.800	6.000	0	0.000	0	3.476	-8.000
acidava	rural_settlement	settlement	6.000	7.600	8.000	0	0.000	0	11.749	-3.000
acina	rural_settlement	settlement	8.000	14.600	17.000	0	0.000	0	15.476	-3.000
acrae	rural_settlement	settlement	7.000	9.800	22.000	0	0.000	0	13.914	-3.000
acragas	city	city	27.000	49.400	33.000	0	1.000	1	25.942	11.000
acranoe	rural_settlement	settlement	5.000	5.400	7.000	0	0.000	0	10.143	-3.000
acritones	rural_settlement	settlement	4.000	3.200	12.000	0	0.000	0	8.302	-3.000
acrium	rural_settlement	settlement	2.000	1.600	0.000	0	0.000	0	4.969	-8.000
acronodumia	rural_settlement	settlement	1.000	0.800	0.000	0	0.000	0	3.056	-8.000
acte	rural_settlement	settlement	1.000	0.800	7.000	0	0.000	0	3.546	-8.000
acuciago	rural_settlement	settlement	5.000	5.200	11.000	0	0.000	0	10.258	-3.000
acumincum	rural_settlement	settlement	2.000	1.600	0.000	0	0.000	0	4.969	-8.000
ad_aquas_caesaris	rural_settlement	settlement	5.000	4.200	21.000	0	0.000	0	10.043	-3.000
ad_aras	rural_settlement	settlement	5.000	5.000	8.000	0	0.000	0	9.877	-3.000
ad_atrum_flumen	rural_settlement	settlement	8.000	7.800	11.000	0	0.000	0	12.079	-3.000
ad_decimum	rural_settlement	settlement	7.000	8.000	17.000	0	0.000	0	12.616	-3.000
ad_drinum	rural_settlement	settlement	2.000	2.600	11.000	0	0.000	0	7.431	-8.000
ad_duodecimum	rural_settlement	settlement	7.000	8.600	11.000	0	0.000	0	12.531	-3.000
ad_duos_pontes	rural_settlement	settlement	4.000	4.200	9.000	0	0.000	0	9.203	-3.000
ad_fines_boiohaemi	rural_settlement	settlement	4.000	5.200	0.000	0	0.000	0	9.488	-3.000
ad_fines_catariae	rural_settlement	settlement	3.000	3.600	8.000	0	0.000	0	8.495	-3.000
ad_fines_dardaniae	rural_settlement	settlement	3.000	5.200	8.000	0	0.000	0	10.048	-3.000
ad_fines_galliarum	rural_settlement	settlement	5.000	5.200	11.000	0	0.000	0	10.258	-3.000
ad_fines_germaniae	rural_settlement	settlement	5.000	6.200	9.000	0	0.000	0	10.895	-3.000
ad_fines_hiberiae	rural_settlement	settlement	6.000	7.000	9.000	0	0.000	0	11.443	-3.000
ad_gemellas	rural_settlement	settlement	5.000	5.000	8.000	0	0.000	0	9.877	-3.000
ad_limen	rural_settlement	settlement	4.000	4.800	3.000	0	0.000	0	9.351	-3.000
ad_lippos	rural_settlement	settlement	5.000	5.000	9.000	0	0.000	0	9.947	-3.000
ad_lunam	rural_settlement	settlement	3.000	2.400	11.000	0	0.000	0	7.134	-8.000
ad_mare	rural_settlement	settlement	4.000	4.200	9.000	0	0.000	0	9.203	-3.000
ad_matricem	rural_settlement	settlement	4.000	4.400	8.000	0	0.000	0	9.329	-3.000
ad_mercuri	rural_settlement	settlement	4.000	4.600	18.000	0	0.000	0	10.218	-3.000
ad_morum	rural_settlement	settlement	5.000	5.000	8.000	0	0.000	0	9.877	-3.000
ad_muratum	rural_settlement	settlement	5.000	5.000	11.000	0	0.000	0	10.087	-3.000
ad_murum	rural_settlement	settlement	5.000	5.000	10.000	0	0.000	0	10.017	-3.000
ad_mutriam	rural_settlement	settlement	4.000	4.200	8.000	0	0.000	0	9.133	-3.000
ad_novas	rural_settlement	settlement	15.000	22.400	28.000	0	0.000	0	18.354	-3.000
ad_novas_iberia	rural_settlement	settlement	6.000	6.800	8.000	0	0.000	0	11.241	-3.000
ad_palem	rural_settlement	settlement	7.000	6.600	10.000	0	0.000	0	11.246	-3.000
ad_palmam	rural_settlement	settlement	3.000	2.600	10.000	0	0.000	0	7.361	-8.000
ad_pannonios	rural_settlement	settlement	3.000	2.600	8.000	0	0.000	0	7.221	-8.000
ad_periam	rural_settlement	settlement	5.000	6.200	3.000	0	0.000	0	10.475	-3.000
ad_picarias	rural_settlement	settlement	3.000	5.200	16.000	0	0.000	0	10.608	-3.000
ad_pontem	rural_settlement	settlement	2.000	2.600	5.000	0	0.000	0	7.011	-8.000
ad_pontes_tessenios	rural_settlement	settlement	5.000	6.000	11.000	0	0.000	0	10.889	-3.000
ad_praetorium	rural_settlement	settlement	7.000	6.800	8.000	0	0.000	0	11.241	-3.000
ad_publicanos	rural_settlement	settlement	4.000	5.000	7.000	0	0.000	0	9.807	-3.000
ad_putea_0	rural_settlement	settlement	4.000	4.200	11.000	0	0.000	0	9.343	-3.000
ad_putea_1	rural_settlement	settlement	3.000	2.400	10.000	0	0.000	0	7.064	-8.000
ad_rubras	rural_settlement	settlement	5.000	7.000	19.000	0	0.000	0	12.143	-3.000
ad_sava_municipium	rural_settlement	settlement	5.000	6.600	11.000	0	0.000	0	11.316	-3.000
ad_scorfulas	rural_settlement	settlement	7.000	9.400	8.000	0	0.000	0	12.737	-3.000
ad_septimum	rural_settlement	settlement	5.000	5.000	8.000	0	0.000	0	9.877	-3.000
ad_sextum	rural_settlement	settlement	2.000	1.600	0.000	0	0.000	0	4.969	-8.000
ad_sextum_miliarem	rural_settlement	settlement	3.000	3.600	11.000	0	0.000	0	8.705	-3.000
ad_silanum	rural_settlement	settlement	2.000	2.600	9.000	0	0.000	0	7.291	-8.000
ad_sorores	rural_settlement	settlement	5.000	5.000	9.000	0	0.000	0	9.947	-3.000
ad_speculum	rural_settlement	settlement	5.000	5.200	3.000	0	0.000	0	9.698	-3.000
ad_statuam	rural_settlement	settlement	5.000	6.600	0.000	0	0.000	0	10.546	-3.000
ad_turres	rural_settlement	settlement	4.000	4.200	10.000	0	0.000	0	9.273	-3.000
ad_verticem	rural_settlement	settlement	4.000	4.400	0.000	0	0.000	0	8.769	-3.000
ad_vicensi	rural_settlement	settlement	7.000	6.600	11.000	0	0.000	0	11.316	-3.000
ad_vicessimum	rural_settlement	settlement	6.000	7.600	8.000	0	0.000	0	11.749	-3.000
adab	rural_settlement	settlement	5.000	5.600	33.000	0	0.000	0	12.123	-3.000
adabda	rural_settlement	settlement	6.000	5.200	10.000	0	0.000	0	10.188	-3.000
adada	rural_settlement	settlement	6.000	7.200	13.000	0	0.000	0	11.851	-3.000
adage	rural_settlement	settlement	1.000	0.800	6.000	0	0.000	0	3.476	-8.000
adam	rural_settlement	settlement	3.000	2.400	5.000	0	0.000	0	6.714	-8.000
adan	town	city	7.000	9.800	18.000	0	1.000	1	16.881	-2.000
adana	city	city	5.000	9.200	33.000	3	0.000	0	17.411	-3.000
adatha	rural_settlement	settlement	5.000	7.000	18.000	0	0.000	0	12.073	-3.000
adedou_kome	rural_settlement	settlement	8.000	10.400	10.000	0	1.000	1	15.102	-3.000
adi_gelamo	rural_settlement	settlement	6.000	10.400	23.000	0	0.000	0	14.265	-3.000
adi_ugri	rural_settlement	settlement	10.000	11.600	16.000	0	0.000	0	14.295	-3.000
adjalu	rural_settlement	settlement	3.000	5.200	19.000	0	0.000	0	10.818	-3.000
adma	town	city	3.000	5.200	31.000	3	0.000	0	14.683	-4.000
adora	rural_settlement	settlement	3.000	3.600	25.000	0	0.000	0	9.685	-3.000
adouli	town	city	21.000	30.200	22.000	0	1.000	1	22.678	6.000
adrabae	rural_settlement	settlement	4.000	4.200	5.000	0	0.000	0	8.923	-3.000
adraha	town	city	6.000	11.000	31.000	0	0.000	0	16.592	-2.000
adramyttion	town	city	7.000	10.800	25.000	2	1.000	1	19.040	1.000
adrasos	rural_settlement	settlement	3.000	3.600	13.000	0	0.000	0	8.845	-3.000
adrestai	rural_settlement	settlement	9.000	11.200	8.000	0	0.000	0	13.567	-3.000
adri	rural_settlement	settlement	1.000	0.800	10.000	0	0.000	0	3.756	-8.000
adros	rural_settlement	settlement	3.000	4.600	17.000	0	0.000	0	10.148	-3.000
adrou	rural_settlement	settlement	4.000	3.600	18.000	0	0.000	0	9.195	-3.000
adrug	rural_settlement	settlement	1.000	0.800	6.000	0	0.000	0	3.476	-8.000
adwesa	rural_settlement	settlement	1.000	0.800	10.000	0	0.000	0	3.756	-8.000
aeclanum	town	city	17.000	27.400	31.000	0	0.000	0	21.071	4.000
aegha	rural_settlement	settlement	5.000	5.200	13.000	0	0.000	0	10.398	-3.000
aegidi	rural_settlement	settlement	13.000	19.400	9.000	0	0.000	0	16.311	-3.000
aelal	rural_settlement	settlement	2.000	1.800	7.000	0	0.000	0	5.844	-8.000
aelana	rural_settlement	settlement	4.000	3.400	20.000	0	1.000	1	10.852	-3.000
aelia	rural_settlement	settlement	4.000	4.400	20.000	0	0.000	0	10.169	-3.000
aeliae	rural_settlement	settlement	7.000	12.600	26.000	0	0.000	0	15.392	-3.000
aemate	rural_settlement	settlement	5.000	6.800	8.000	0	0.000	0	11.241	-3.000
aeminium	rural_settlement	settlement	8.000	7.400	11.000	0	1.000	1	13.584	-3.000
aerac	rural_settlement	settlement	2.000	1.600	5.000	0	0.000	0	5.319	-8.000
aerdyn	rural_settlement	settlement	2.000	1.600	5.000	0	0.000	0	5.319	-8.000
aeso	rural_settlement	settlement	5.000	5.000	6.000	0	0.000	0	9.737	-3.000
aetelrugia	rural_settlement	settlement	3.000	2.400	3.000	0	0.000	0	6.574	-8.000
afabet	rural_settlement	settlement	2.000	1.600	8.000	0	0.000	0	5.529	-8.000
afarun	rural_settlement	settlement	7.000	7.000	7.000	0	0.000	0	11.303	-3.000
afdugweyne	rural_settlement	settlement	2.000	1.600	7.000	0	0.000	0	5.459	-8.000
affa	rural_settlement	settlement	8.000	10.000	8.000	0	0.000	0	13.029	-3.000
aflaj	rural_settlement	settlement	2.000	1.600	6.000	0	0.000	0	5.389	-8.000
aflou	rural_settlement	settlement	3.000	2.600	3.000	0	0.000	0	6.871	-8.000
afweyn	rural_settlement	settlement	2.000	1.600	7.000	0	0.000	0	5.459	-8.000
agabis	rural_settlement	settlement	4.000	7.000	18.000	0	0.000	0	12.073	-3.000
agaie	rural_settlement	settlement	3.000	3.600	6.000	0	0.000	0	8.355	-3.000
aganagara	rural_settlement	settlement	10.000	14.400	24.000	0	0.000	0	15.899	-3.000
aganzana	rural_settlement	settlement	7.000	7.600	21.000	0	0.000	0	12.659	-3.000
agarum	rural_settlement	settlement	5.000	6.200	15.000	0	0.000	0	11.315	-3.000
agarusia	rural_settlement	settlement	4.000	4.200	8.000	0	0.000	0	9.133	-3.000
agatha	town	city	12.000	21.800	31.000	0	0.000	0	19.929	3.000
agathapura	rural_settlement	settlement	8.000	9.800	24.000	0	0.000	0	14.054	-3.000
agathom	rural_settlement	settlement	6.000	8.600	9.000	0	0.000	0	12.391	-3.000
agawe	rural_settlement	settlement	2.000	1.600	18.000	0	0.000	0	6.229	-8.000
agdz	rural_settlement	settlement	6.000	5.200	3.000	0	0.000	0	9.698	-3.000
agedincum_0	rural_settlement	settlement	8.000	10.200	11.000	0	0.000	0	13.333	-3.000
agedincum_1	rural_settlement	settlement	5.000	6.600	11.000	0	0.000	0	11.316	-3.000
ager	rural_settlement	settlement	5.000	5.000	8.000	0	0.000	0	9.877	-3.000
aggathana	rural_settlement	settlement	4.000	6.000	8.000	0	0.000	0	10.679	-3.000
aggrat	rural_settlement	settlement	7.000	7.200	0.000	0	0.000	0	10.941	-3.000
aggrygh	rural_settlement	settlement	1.000	0.800	0.000	0	0.000	0	3.056	-8.000
aghahechk	rural_settlement	settlement	4.000	6.000	16.000	0	0.000	0	11.239	-3.000
aghaiani	rural_settlement	settlement	4.000	6.000	20.000	0	0.000	0	11.519	-3.000
agharite	rural_settlement	settlement	4.000	4.200	5.000	0	0.000	0	8.923	-3.000
aghbala	rural_settlement	settlement	4.000	3.600	3.000	0	0.000	0	8.145	-3.000
aghmat	rural_settlement	settlement	3.000	2.400	5.000	0	0.000	0	6.714	-8.000
aghonor	rural_settlement	settlement	4.000	3.400	0.000	0	0.000	0	7.704	-3.000
aghram_nadariff	rural_settlement	settlement	2.000	1.600	6.000	0	0.000	0	5.389	-8.000
agines	rural_settlement	settlement	13.000	18.400	27.000	2	1.000	1	20.266	-3.000
aginnum	rural_settlement	settlement	8.000	10.200	11.000	0	0.000	0	13.333	-3.000
agiria	rural_settlement	settlement	5.000	5.000	9.000	0	0.000	0	9.947	-3.000
aglou	rural_settlement	settlement	1.000	0.800	5.000	0	0.000	0	3.406	-8.000
agoult	rural_settlement	settlement	1.000	0.800	5.000	0	0.000	0	3.406	-8.000
agourai	rural_settlement	settlement	4.000	3.200	5.000	0	0.000	0	7.812	-3.000
agrana	rural_settlement	settlement	3.000	2.400	7.000	0	0.000	0	6.854	-8.000
agranai	rural_settlement	settlement	5.000	6.200	18.000	0	0.000	0	11.525	-3.000
agria	rural_settlement	settlement	3.000	3.400	0.000	0	0.000	0	7.704	-3.000
agritore	rural_settlement	settlement	5.000	5.000	11.000	0	0.000	0	10.087	-3.000
agrodakha	rural_settlement	settlement	11.000	17.800	28.000	0	0.000	0	17.216	-3.000
agrum	rural_settlement	settlement	3.000	3.400	0.000	0	0.000	0	7.704	-3.000
aguntum	rural_settlement	settlement	11.000	9.200	7.000	0	0.000	0	12.566	-3.000
aguz	rural_settlement	settlement	2.000	1.600	7.000	0	0.000	0	5.459	-8.000
aharawan	rural_settlement	settlement	3.000	5.200	21.000	0	0.000	0	10.958	-3.000
ahgranika	rural_settlement	settlement	7.000	7.200	0.000	0	0.000	0	10.941	-3.000
ahicchatra	city	city	34.000	59.600	33.000	0	0.000	0	25.152	9.000
ahur	rural_settlement	settlement	11.000	15.800	4.000	0	0.000	0	14.951	-3.000
aigai	rural_settlement	settlement	4.000	6.000	24.000	0	0.000	0	11.799	-3.000
aigaiai	rural_settlement	settlement	4.000	6.000	26.000	3	0.000	0	13.464	-3.000
aigina	city	city	4.000	8.400	45.000	0	1.000	1	18.049	-1.000
aigion	rural_settlement	settlement	11.000	19.200	24.000	0	0.000	0	17.310	-3.000
aihkohna	rural_settlement	settlement	2.000	1.600	0.000	0	0.000	0	4.969	-8.000
aikronon	rural_settlement	settlement	1.000	0.800	3.000	0	0.000	0	3.266	-8.000
ain_hudera	rural_settlement	settlement	3.000	3.600	29.000	0	0.000	0	9.965	-3.000
ainona	rural_settlement	settlement	9.000	11.600	12.000	0	0.000	0	14.015	-3.000
ainos	rural_settlement	settlement	5.000	7.800	28.000	0	0.000	0	13.269	-3.000
aipolion	rural_settlement	settlement	6.000	7.600	3.000	0	0.000	0	11.399	-3.000
airakina	town	city	34.000	50.400	31.000	0	0.000	0	24.156	9.000
airma	rural_settlement	settlement	2.000	1.600	5.000	0	0.000	0	5.319	-8.000
aizanoi	rural_settlement	settlement	4.000	4.600	24.000	0	0.000	0	10.638	-3.000
ajam	rural_settlement	settlement	2.000	1.600	6.000	0	0.000	0	5.389	-8.000
ajanta	rural_settlement	settlement	5.000	6.800	9.000	0	0.000	0	11.311	-3.000
ajdab	rural_settlement	settlement	1.000	0.800	10.000	0	0.000	0	3.756	-8.000
ajdir	rural_settlement	settlement	3.000	2.400	8.000	0	0.000	0	6.924	-8.000
ajodhya	rural_settlement	settlement	5.000	6.000	19.000	0	0.000	0	11.449	-3.000
ajri	rural_settlement	settlement	4.000	3.400	28.000	0	0.000	0	9.664	-3.000
akanthos	rural_settlement	settlement	10.000	17.200	24.000	0	0.000	0	16.767	-3.000
ake_ptolemais	town	city	10.000	14.200	29.000	2	1.000	1	20.637	4.000
akhaltsikhe	rural_settlement	settlement	3.000	3.600	20.000	0	0.000	0	9.335	-3.000
akhnur	rural_settlement	settlement	6.000	8.800	6.000	0	0.000	0	12.288	-3.000
akhsiket	rural_settlement	settlement	7.000	9.800	21.000	0	0.000	0	13.844	-3.000
akhtuba	rural_settlement	settlement	3.000	2.400	6.000	0	0.000	0	6.784	-8.000
akhur	rural_settlement	settlement	8.000	9.200	6.000	0	0.000	0	12.496	-3.000
akhynt	rural_settlement	settlement	5.000	5.600	0.000	0	0.000	0	9.813	-3.000
akirek	rural_settlement	settlement	2.000	1.600	6.000	0	0.000	0	5.389	-8.000
akkaz	rural_settlement	settlement	4.000	4.400	28.000	0	0.000	0	10.729	-3.000
akkei	rural_settlement	settlement	3.000	5.000	6.000	0	0.000	0	9.737	-3.000
akkilur	rural_settlement	settlement	11.000	17.000	9.000	0	0.000	0	15.660	-3.000
akkum	rural_settlement	settlement	3.000	2.400	0.000	0	0.000	0	6.364	-8.000
akme	rural_settlement	settlement	3.000	3.400	10.000	0	1.000	1	10.152	-3.000
akmoneia	town	city	6.000	10.200	29.000	2	0.000	0	17.301	-1.000
akordat	rural_settlement	settlement	6.000	5.000	12.000	0	0.000	0	10.157	-3.000
akota	rural_settlement	settlement	9.000	10.600	24.000	0	0.000	0	14.425	-3.000
akour	rural_settlement	settlement	7.000	12.000	23.000	0	0.000	0	14.948	-3.000
akra_leuke	rural_settlement	settlement	8.000	11.000	8.000	0	1.000	1	15.229	-3.000
akra_rudh	rural_settlement	settlement	3.000	5.200	19.000	0	0.000	0	10.818	-3.000
akraba	rural_settlement	settlement	3.000	4.600	25.000	0	0.000	0	10.708	-3.000
akrarei	rural_settlement	settlement	1.000	0.800	5.000	0	0.000	0	3.406	-8.000
akroterion	rural_settlement	settlement	5.000	5.200	9.000	0	0.000	0	10.118	-3.000
aksha	rural_settlement	settlement	3.000	2.400	6.000	0	0.000	0	6.784	-8.000
aksum	town	city	12.000	14.000	23.000	0	0.000	0	17.192	-1.000
aksumia	rural_settlement	settlement	8.000	9.000	8.000	0	0.000	0	12.533	-3.000
aktene	rural_settlement	settlement	6.000	9.400	18.000	0	0.000	0	13.437	-3.000
aktogay	rural_settlement	settlement	6.000	5.200	14.000	0	0.000	0	10.468	-3.000
akunk	rural_settlement	settlement	3.000	3.600	18.000	0	0.000	0	9.195	-3.000
ala_miliaria	rural_settlement	settlement	6.000	7.200	11.000	0	0.000	0	11.711	-3.000
alaba	rural_settlement	settlement	5.000	5.000	11.000	0	0.000	0	10.087	-3.000
alabanda	town	city	8.000	9.800	29.000	0	0.000	0	15.904	-3.000
alabastronpolis	rural_settlement	settlement	12.000	17.800	31.000	0	0.000	0	17.426	-3.000
aladagh_qaleh	rural_settlement	settlement	3.000	5.200	18.000	0	0.000	0	10.748	-3.000
alagma	rural_settlement	settlement	3.000	3.800	23.000	0	0.000	0	9.767	-3.000
alaivay	rural_settlement	settlement	11.000	14.200	23.000	0	0.000	0	15.761	-3.000
alalaiou	rural_settlement	settlement	6.000	8.800	17.000	0	0.000	0	13.058	-3.000
alan	rural_settlement	settlement	10.000	13.400	21.000	0	0.000	0	15.340	-3.000
alana	rural_settlement	settlement	3.000	5.200	17.000	0	0.000	0	10.678	-3.000
alanis	rural_settlement	settlement	4.000	5.000	3.000	0	0.000	0	9.527	-3.000
alaria	rural_settlement	settlement	2.000	1.600	5.000	0	0.000	0	5.319	-8.000
alatnapura	rural_settlement	settlement	9.000	12.800	8.000	0	0.000	0	14.208	-3.000
alauna	rural_settlement	settlement	4.000	4.200	12.000	0	0.000	0	9.413	-3.000
alaura	rural_settlement	settlement	4.000	5.400	17.000	0	0.000	0	10.843	-3.000
alavi_pancala	rural_settlement	settlement	17.000	20.400	28.000	2	0.000	0	19.098	-3.000
alavna	rural_settlement	settlement	3.000	3.400	10.000	0	0.000	0	8.404	-3.000
alba_helviorum	rural_settlement	settlement	10.000	12.400	9.000	0	0.000	0	14.125	-3.000
albanopolis	rural_settlement	settlement	12.000	16.400	18.000	0	0.000	0	16.114	-3.000
albiana	rural_settlement	settlement	3.000	2.600	5.000	0	0.000	0	7.011	-8.000
albiga	rural_settlement	settlement	5.000	5.000	9.000	0	0.000	0	9.947	-3.000
albocensia	rural_settlement	settlement	4.000	5.800	0.000	0	0.000	0	9.968	-3.000
albom_ingaunom	rural_settlement	settlement	17.000	20.800	10.000	0	1.000	1	18.474	-3.000
albulae	rural_settlement	settlement	4.000	6.000	9.000	0	0.000	0	10.749	-3.000
album_intimilium	rural_settlement	settlement	12.000	15.400	10.000	0	0.000	0	15.246	-3.000
alces	rural_settlement	settlement	8.000	9.200	11.000	0	0.000	0	12.846	-3.000
aleria	city	city	13.000	21.000	39.000	0	1.000	1	22.051	4.000
alesia	town	city	10.000	10.600	14.000	0	0.000	0	15.225	-3.000
alesia_germanica	rural_settlement	settlement	4.000	5.400	0.000	0	0.000	0	9.653	-3.000
alexandreia_areia	city	city	10.000	18.200	44.000	0	0.000	0	19.946	2.000
alexandreia_bactriane	city	city	31.000	46.000	34.000	0	0.000	0	23.901	7.000
alexandreia_eschate	city	city	20.000	37.400	42.000	0	0.000	0	23.410	7.000
alexandreia_nikaia	city	city	8.000	10.200	39.000	2	0.000	0	18.001	-2.000
alexandreia_pros_to_latmo	city	city	5.000	6.800	39.000	0	0.000	0	14.911	-6.000
alexandreia_sakastenes	city	city	15.000	27.400	43.000	0	0.000	0	21.911	4.000
alexandria	city	city	25.000	63.600	61.000	0	9.000	1	31.445	15.000
alexandria_ad_caucasum	city	city	13.000	24.600	42.000	1	0.000	0	22.064	4.000
alexandria_margiana	city	city	21.000	35.600	36.000	0	0.000	0	22.740	6.000
alexandria_oxiana	city	city	9.000	11.400	36.000	0	0.000	0	17.112	-3.000
alexandria_susiana	city	city	24.000	39.800	56.000	0	3.000	1	27.700	14.000
alexandropolis	city	city	9.000	14.200	33.000	0	0.000	0	17.961	-2.000
alexandrou_limen	city	city	21.000	28.600	41.000	0	1.000	1	23.734	7.000
alexandrou_parembole	rural_settlement	settlement	4.000	5.200	38.000	0	0.000	0	12.148	-3.000
algeti	rural_settlement	settlement	2.000	1.800	18.000	0	0.000	0	6.614	-8.000
ali	rural_settlement	settlement	1.000	0.800	5.000	0	0.000	0	3.406	-8.000
alia	rural_settlement	settlement	1.000	0.800	5.000	0	0.000	0	3.406	-8.000
aliareia	rural_settlement	settlement	6.000	9.400	24.000	2	0.000	0	15.066	-3.000
alicodra	rural_settlement	settlement	5.000	9.000	5.000	0	0.000	0	12.323	-3.000
aliou_kome	rural_settlement	settlement	7.000	8.600	10.000	0	0.000	0	12.461	-3.000
alisca	rural_settlement	settlement	9.000	11.800	9.000	0	0.000	0	13.887	-3.000
alisus	rural_settlement	settlement	3.000	2.400	5.000	0	0.000	0	6.714	-8.000
alisutum	rural_settlement	settlement	6.000	5.200	0.000	0	0.000	0	9.488	-3.000
alitora	rural_settlement	settlement	1.000	0.800	3.000	0	0.000	0	3.266	-8.000
alkhyent	rural_settlement	settlement	2.000	1.600	0.000	0	0.000	0	4.969	-8.000
alkon	rural_settlement	settlement	5.000	5.400	27.000	0	0.000	0	11.543	-3.000
alkonet	rural_settlement	settlement	1.000	0.800	5.000	0	0.000	0	3.406	-8.000
allaqi	rural_settlement	settlement	2.000	1.600	8.000	0	0.000	0	5.529	-8.000
