# holy_site_key	type
omen_tadenus	shrine
omen_tages	temple
omen_tamfana	shrine
omen_tanit	temple
omen_tannit	shrine
omen_thagimasadas	temple
omen_the_elements	mountain
omen_theispas	shrine
omen_thoth	shrine
omen_thraetona	temple
omen_thrax	shrine
omen_tinia	temple
omen_tir	temple
omen_tishtar	temple
omen_tonpa_shenrab	temple
omen_tork_angegh	temple
omen_toutatis	shrine
omen_trapusa_and_bahalika	temple
omen_tritonis	shrine
omen_trumsiate	shrine
omen_tsovinar	shrine
omen_tuisto	shrine
omen_turan	temple
omen_turpal	shrine
omen_uni	temple
omen_uni_astarte	temple
omen_vaelicus	shrine
omen_vagdavercustis	shrine
omen_vahagn	shrine
omen_vakhsh	temple
omen_varuna	temple
omen_vata	temple
omen_vea	temple
omen_vidasus	shrine
omen_vish	mountain
omen_vishnu	temple
omen_voltumna	temple
omen_waaq	temple
omen_wadd	temple
omen_wadjet	temple
omen_wagar	temple
omen_wepwawet	shrine
omen_yamsh	shrine
omen_yeshe_walmo	shrine
omen_yima	temple
omen_zadeni	mountain
omen_zalmoxis	shrine
omen_zeus	mountain
omen_zeus_dacieus	shrine
omen_zhun	shrine
omen_zibelthiurdos	shrine
omen_zis	temple
omen_zoroaster	fire_temple
omen_zurvan	temple
