LandProvince;SeaZone;x;y
panorumus;mare_tyrrhenum_3;1778.33;2039.08
thermai;mare_tyrrhenum_3;1800.994;2022.019
cephaloedium;mare_tyrrhenum_3;1828.461;2026.304
tyndaris;mare_tyrrenum;1880.841;2040.423
calacte;mare_tyrrhenum_3;1857.296;2028.446
camarina;fretum_melitense_0;1869.576;1914.85
aternum;mare_superum_3;1821.0;2418.0
matrinum;mare_superum_3;1799.906;2449.056
picenum;mare_superum_3;1794.002;2467.095
telamon;mare_tyrrhenum_5;1607.734;2429.076
vetulonia;mare_tyrrhenum_5;1586.927;2452.369
ancona;mare_superum_2;1776.0;2508.0
sena_gallica;mare_superum_2;1747.119;2531.718
populonia;mare_tyrrhenum_5;1579.191;2457.64
ilva;mare_tyrrhenum_5;1560.392;2438.63
vada_volaterrana;mare_ligusticum_0;1569.0;2488.0
ariminum;mare_superum_1;1709.797;2556.564
pisae;mare_ligusticum_0;1557.0;2510.0
luna;mare_ligusticum_0;1548.204;2543.603
portus_veneris;sinus_genuensis;1517.0;2562.0
ravenna;mare_superum_0;1686.288;2589.139
brundulum;sinus_veneticus_0;1682.8;2660.292
spina;mare_superum_0;1680.231;2619.085
corniculani;mare_superum_0;1683.669;2625.356
myra;mare_lycium_1;2967.643;1995.932
limyra;mare_lycium_1;2990.309;2012.476
olympos;mare_lycium_0;3007.789;2028.862
phaselis;mare_lycium_0;3010.539;2039.599
olbia_pamphylias;mare_lycium_0;3011.286;2069.248
perge;mare_lycium_0;3026.083;2070.137
aspendos;mare_lycium_0;3044.039;2072.653
kytoros;pontus_euxinus_1;3067.394;2551.932
herakleia_pontike;pontus_euxinus_0;2968.834;2459.403
sesamos;pontus_euxinus_1;3030.008;2528.465
tieion;pontus_euxinus_0;3000.125;2498.054
parthenia;pontus_euxinus_0;3012.191;2511.418
oinoe_ikarias;mare_icarium_3;2690.355;2074.619
kalpe;pontus_euxinus_0;2892.77;2440.522
diospolis_0;pontus_euxinus_0;2949.009;2443.69
artanes;pontus_euxinus_0;2878.787;2434.709
chalcedon;propontis;2820.503;2404.717
rhebas;pontus_euxinus_43;2829.05;2432.411
libyssa;propontis;2860.328;2395.413
astakos;propontis;2869.434;2395.11
kios;propontis;2830.18;2355.823
strobilos;propontis;2840.546;2384.058
myrleia;propontis;2808.341;2351.295
kyzikos;hellespontus;2748.612;2335.682
zeleia;hellespontus;2733.255;2331.566
parium;hellespontus;2699.82;2337.011
lampsakos;hellespontus;2681.931;2329.652
ilion;hellespontus;2643.266;2284.898
polymedion;mare_aegaeum_3;2646.613;2258.483
assos;mare_aegaeum_2;2671.931;2245.334
abydos;hellespontus;2663.728;2309.88
naxos;mare_aegaeum_0;2636.592;2024.078
rhodos;mare_lycium_2;2848.678;1994.62
lemnos;mare_aegaeum_5;2587.596;2275.935
iasos;mare_icarium_2;2787.257;2061.293
skyros;mare_aegaeum_4;2554.175;2171.11
elaea;mare_aegaeum_2;2716.683;2199.623
poseidion;mare_carpathium;2792.072;1904.277
adramyttion;mare_aegaeum_2;2702.692;2253.917
atarna;mare_aegaeum_2;2702.164;2216.887
mytilene;mare_aegaeum_2;2685.706;2214.268
eresos;mare_aegaeum_2;2648.621;2204.221
kyme;mare_aegaeum_2;2712.076;2185.473
chios;mare_aegaeum_2;2669.321;2141.494
smyrna;mare_aegaeum_2;2733.71;2157.993
tecybeleneos;mare_icarium_3;2710.888;2132.92
erythrai;mare_aegaeum_2;2678.381;2164.453
ephesos;mare_icarium_3;2752.878;2117.739
colophon;mare_icarium_3;2730.131;2124.674
imbros;mare_aegaeum_3;2620.079;2289.915
leros;mare_icarium_2;2732.932;2041.988
karpasia;mare_cilicium_2;3294.007;2019.047
salamis_kyprias;mare_phoenicium_9;3276.32;1975.093
kition;mare_phoenicium_9;3263.271;1947.242
soloi_0;mare_cilicium_2;3195.786;1955.012
paphos;mare_phoenicium_8;3178.761;1911.293
kyrenia;mare_cilicium_2;3226.745;1979.999
amathous;mare_phoenicium_8;3233.035;1920.434
philia;pontus_euxinus_43;2787.68;2434.859
salmydessos;pontus_euxinus_5;2749.559;2449.86
aulaiouteichos;pontus_euxinus_5;2734.356;2469.979
praesos;mare_creticum_0;2719.699;1865.143
selymbria;propontis;2772.609;2403.73
perinthos;propontis;2751.276;2396.849
bisanthe;hellespontus;2717.124;2377.781
sestos;mare_thracum_1;2646.013;2307.479
lysimacheia;mare_thracum_1;2674.581;2348.523
rhithymna;mare_creticum_1;2609.251;1867.139
ainos;mare_thracum_1;2639.268;2338.086
ierapetra;mare_aegyptium_5;2691.204;1840.418
thasos;mare_thracum_0;2522.748;2334.591
maroneia;mare_thracum_0;2611.46;2356.112
knossos;mare_creticum_0;2641.0;1864.802
lyctus;mare_creticum_0;2660.625;1866.229
gortyna;mare_aegyptium_7;2628.717;1824.256
abdera;mare_thracum_0;2553.878;2360.336
neapolis_thrake;mare_thracum_0;2518.602;2350.891
amphipolis;mare_thracum_0;2482.57;2327.756
tragilos;mare_thracum_0;2469.08;2324.081
kydonia;mare_creticum_1;2561.354;1869.926
polyrrenia;mare_creticum_1;2536.252;1864.596
tarrha;mare_aegyptium_6;2561.595;1840.405
korion;mare_aegyptium_7;2617.688;1835.885
thessalonica;sinus_thermaeus_1;2416.902;2303.92
amorgos;mare_aegaeum_0;2671.791;1997.259
poteidaia;sinus_thermaeus_1;2443.0;2277.0
akanthos;mare_thracum_0;2480.014;2304.619
torone;sinus_thermaeus_0;2479.023;2270.389
pella_0;echedoros;2384.694;2331.358
dion;sinus_thermaeus_1;2399.795;2258.314
ios;mare_aegaeum_0;2621.062;1984.556
pagasai;pagasaeus_sinus;2435.77;2192.532
kasthaneia;sinus_thermaeus_1;2425.287;2228.071
nea_halos;pagasaeus_sinus;2428.785;2184.678
lamia;sinus_malianus;2417.407;2152.259
opous;sinus_malianus;2452.823;2140.594
oreus;pagasaeus_sinus;2451.72;2167.605
anthedon;sinus_malianus;2481.228;2126.028
chalcis;fretum_carysteum;2501.132;2118.993
karystos;fretum_carysteum;2555.372;2089.834
oichalia_euboias;fretum_artemisium;2528.283;2141.331
oropos;fretum_carysteum;2516.751;2112.183
epidamnos;mare_superum_7;2174.182;2341.572
athens;sinus_saronicus;2504.728;2074.821
megara_0;sinus_saronicus;2479.0;2076.0
korinthos;sinus_saronicus;2459.243;2067.122
gitana;mare_ionium_8;2243.332;2186.885
peparethos;mare_aegaeum_7;2489.561;2186.641
phoinike;mare_ionium_8;2225.646;2215.858
apollonia;mare_superum_7;2172.875;2296.878
delphi;sinus_corinthius;2427.019;2104.568
methone;sinus_thermaeus_1;2403.244;2294.299
epidauros_limera;mare_myrtoum_1;2477.518;1961.826
gytheion;sinus_laconicus;2444.0;1965.0
messene;sinus_messenius;2396.875;1978.878
mothone;mare_ionium_6;2377.229;1962.971
lepreon;mare_ionium_6;2369.722;2010.182
patrai;sinus_patraicus;2362.072;2084.773
seriphos;mare_myrtoum_0;2571.576;2013.038
argos;sinus_argolicus;2444.192;2036.342
epidauros;sinus_saronicus;2474.162;2047.084
aigina;sinus_saronicus;2488.025;2058.514
kythnos;prov2607_0;2558.61;2038.95
aigion;sinus_corinthius;2395.69;2090.061
dyme_0;mare_aegyptium_3;3014.593;1523.546
elis;mare_ionium_6;2333.662;2043.628
syros;mare_aegaeum_1;2601.853;2042.354
kyphanta;prov2607_1;2470.469;1988.368
troizen;sinus_saronicus;2499.603;2035.53
tenos;mare_aegaeum_1;2611.542;2057.166
taposiris;delta_nili_0;3043.985;1541.493
thera;mare_creticum_2;2651.598;1954.13
naupaktos;sinus_patraicus;2356.0;2095.0
chaleion;sinus_corinthius;2404.862;2100.845
leukas;mare_ionium_7;2288.65;2111.777
zakynthos;mare_ionium_6;2313.313;2033.605
kefalonia;mare_ionium_7;2277.354;2086.819
thyrrheion;mare_ionium_8;2286.322;2134.428
kassope;mare_ionium_8;2289.609;2148.836
ambrakia;mare_ionium_8;2313.0;2150.0
orikos;fretum_hydruntis;2183.158;2257.394
thespiai;sinus_corinthius;2453.213;2093.944
korkyra;mare_ionium_8;2224.931;2192.806
kythera;mare_myrtoum_1;2484.949;1918.669
kea;prov2607_0;2549.343;2051.287
leuktron;sinus_messenius;2416.691;1968.446
mesembria;pontus_euxinus_5;2706.178;2541.823
anchialos;pontus_euxinus_5;2695.175;2526.785
apollonia_pontike;pontus_euxinus_5;2706.886;2514.133
klysma;canal_of_the_pharaohs_3;3289.003;1494.77
leonton_polis;canal_of_the_pharaohs_2;3203.465;1516.583
tanis;delta_nili_1;3226.768;1591.817
pelusium;mare_phoenicium_0;3275.377;1605.977
daphnai;delta_nili_1;3237.072;1588.64
alexandria;delta_nili_0;3060.238;1559.429
hermopolis_mikra;nile_the_bolbitine_3;3119.188;1563.855
sais;nile_the_bolbitine_2;3147.815;1547.131
sebennytos;nile_the_phatnitic_2;3168.152;1580.899
diospolis_kato;nile_the_phatnitic_4;3186.844;1607.72
pakhnemounis;delta_nili_1;3148.004;1619.962
kanopos;delta_nili_0;3079.916;1578.22
bolbitine;delta_nili_0;3090.601;1582.2
chemmis;delta_nili_1;3130.873;1599.623
ostrakine;mare_phoenicium_0;3320.806;1621.841
babylon_0;nile;3186.183;1481.822
myos_hormos;sinus_arabicus_2;3549.0;1172.0
berenike;sinus_arabicus_7;3671.603;1023.695
lahami;sinus_arabicus_5;3652.634;1065.959
nechesia;sinus_arabicus_5;3607.198;1105.177
quei;sinus_arabicus_2;3476.063;1245.842
lykabettus_porphyrites;sinus_heroopoliticus;3458.349;1279.606
drepanum;sinus_heroopoliticus;3426.14;1312.431
rinokoloura;mare_phoenicium_0;3360.46;1626.612
bitylion;mare_phoenicium_0;3376.805;1637.526
raphia;mare_phoenicium_0;3386.083;1648.148
gaza;mare_phoenicium_0;3393.301;1660.547
ascalon;mare_phoenicium_0;3398.881;1674.036
ashdod;mare_phoenicium_1;3404.754;1693.572
iamneia;mare_phoenicium_1;3406.663;1707.548
ioppe;mare_phoenicium_1;3408.318;1722.924
apollonia_palaistinias;mare_phoenicium_1;3408.882;1731.957
stratonos_pyrgos;mare_phoenicium_1;3408.385;1749.151
skyamina;mare_phoenicium_1;3405.948;1784.431
dora;mare_phoenicium_1;3407.69;1759.355
boukolonpolis;mare_phoenicium_1;3407.06;1770.723
ake_ptolemais;mare_phoenicium_2;3411.225;1801.297
aelana;prov653_0;3481.943;1499.901
ankale;prov653_0;3488.921;1460.266
makna;prov653_1;3493.873;1394.913
tyrus;mare_phoenicium_2;3412.927;1835.692
hammon;mare_phoenicium_2;3410.472;1821.509
sarepta;mare_phoenicium_2;3414.014;1853.392
sidon;mare_phoenicium_2;3416.528;1865.506
berytus;mare_phoenicium_2;3419.78;1896.421
byblos;mare_phoenicium_2;3423.943;1912.829
botrys;mare_phoenicium_3;3420.536;1931.863
tripolis;mare_phoenicium_3;3429.99;1950.181
arca_0;mare_phoenicium_3;3436.058;1958.531
arados;mare_phoenicium_3;3416.166;1984.412
carne;mare_phoenicium_3;3414.739;2004.764
tell_soukas;mare_phoenicium_3;3412.146;2022.714
leuke_akte;mare_phoenicium_3;3402.152;2036.775
posideion;mare_phoenicium_4;3394.577;2062.114
palaeopolis;mare_phoenicium_4;3397.257;2086.166
myriandros;mare_phoenicium_4;3392.103;2132.928
issus;mare_phoenicium_4;3391.171;2157.902
ctesiphon;tigris_6;4093.58;2034.553
babylon_1;euphrates_4;4073.772;1987.986
alexandria_susiana;tigris_7;4372.983;1938.102
apologos;sinus_persicus_7;4405.29;1897.183
akkaz;sinus_persicus_6;4462.52;1823.853
failaka;sinus_persicus_6;4481.301;1835.193
teredon;sinus_persicus_6;4447.9;1836.914
apphana;sinus_persicus_7;4445.023;1873.29
darak;sinus_persicus_7;4469.822;1932.275
ampe;sinus_persicus_7;4446.61;1921.928
emporiae;sinus_gallicus_1;1090.855;2389.855
rhoda;sinus_gallicus_1;1090.59;2425.348
blandae;sinus_gallicus_1;1075.014;2368.294
lauro_iberias;mare_internum_0;1034.633;2348.37
kallipolis_iberias;mare_internum_0;1014.766;2332.194
tarraco;mare_hibericum_0;952.4;2318.89
dertosa;iberus_0;906.044;2296.579
oiasso;mare_cantabrum_3;779.143;2543.698
saguntum;mare_balearium_0;845.791;2204.2
valentia_0;mare_balearium_0;834.725;2181.776
hemeroskopeion;mare_hibericum_1;862.013;2114.495
portus_sucronis;mare_balearium_0;838.022;2157.311
akra_leuke;mare_hibericum_1;814.991;2086.427
ilici;mare_hibericum_1;801.465;2069.928
thiar;mare_hibericum_1;792.41;2050.315
mastia;mare_hibericum_1;783.065;2032.481
alonis;mare_hibericum_1;838.803;2100.089
bracara_augusta;oceanus_atlanticus_22;293.824;2441.004
antistiana;mare_hibericum_0;972.1;2323.877
oleastrum;mare_hibericum_0;933.528;2312.954
aracaeli;mare_cantabrum_3;745.282;2541.833
gebala;mare_cantabrum_3;728.239;2551.05
flaviobriga;mare_cantabrum_2;694.229;2553.428
brigensium;mare_cantabrum_2;656.253;2569.541
veseiasueca;mare_cantabrum_2;610.23;2568.351
gigia;mare_cantabrum_1;550.125;2590.782
ad_mare;mare_cantabrum_1;572.422;2580.732
flavionavia;mare_cantabrum_1;511.716;2602.992
paesicia;mare_cantabrum_1;474.892;2605.799
flavium_brigantium;oceanus_atlanticus_27;352.053;2613.221
phlaouia_lambris;oceanus_atlanticus_27;360.438;2616.581
arronia;mare_cantabrum_0;397.148;2635.876
varrinia;mare_cantabrum_0;424.431;2626.783
varina_marinia;mare_cantabrum_0;432.505;2615.458
aviliobris;oceanus_atlanticus_27;331.372;2610.339
artabron_limen;oceanus_atlanticus_27;295.046;2580.586
noouion;oceanus_atlanticus_22;299.243;2554.938
ad_duos_pontes;oceanus_atlanticus_22;305.929;2533.515
vicus_spacorum;oceanus_atlanticus_22;298.908;2499.586
limia;oceanus_atlanticus_22;295.444;2464.757
sebelaci;mare_balearium_0;861.542;2224.316
indibilis;mare_hibericum_0;897.535;2267.184
etobesa;mare_balearium_0;875.843;2243.447
ficariensis_locus;mare_hibericum_2;743.41;2021.966
longuntica;mare_hibericum_2;716.938;2003.656
baria;mare_hibericum_2;702.779;1980.437
urci;mare_hibericum_3;667.312;1967.798
murgi;mare_hibericum_3;655.819;1968.88
abdarat;mare_hibericum_3;617.464;1966.74
tongobriga;oceanus_atlanticus_22;295.258;2424.007
langobriga;oceanus_atlanticus_20;290.22;2394.447
aeminium;oceanus_atlanticus_20;268.596;2347.076
conimbriga;oceanus_atlanticus_20;262.596;2327.532
collippo;oceanus_atlanticus_20;248.572;2305.028
eburobrittium;oceanus_atlanticus_16;227.254;2277.602
barbarion;oceanus_atlanticus_16;217.163;2198.574
olisipo;oceanus_atlanticus_16;204.432;2214.422
caetobriga;oceanus_atlanticus_15;237.363;2184.627
salacia;oceanus_atlanticus_15;239.666;2171.942
mirobriga_couneia;oceanus_atlanticus_15;232.049;2151.986
patulus_portus;oceanus_atlanticus_15;229.987;2126.547
portus_cibilis;oceanus_atlanticus_3;227.0;2077.0
ossonoba;oceanus_atlanticus_3;268.623;2051.511
baal_saphon;oceanus_atlanticus_0;307.407;2054.191
mirobigensia;oceanus_atlanticus_4;225.345;2105.107
praesidium;oceanus_atlanticus_0;337.737;2053.505
ad_rubras;oceanus_atlanticus_0;365.675;2034.991
tartessos;lacus_ligustinus;389.0;2027.0
menesthei_portus;oceanus_atlanticus_0;377.397;1998.206
gadir;oceanus_atlanticus_0;384.895;1978.475
mergablum;fretum_gaditanum;404.795;1949.075
baelo;fretum_gaditanum;416.206;1937.351
carteia;fretum_gaditanum;453.809;1950.672
lacippo;mare_hibericum_4;476.543;1963.502
suel;mare_hibericum_4;507.544;1968.13
malaca;mare_hibericum_4;520.166;1977.915
menova;mare_hibericum_4;545.403;1977.515
saxetanum;mare_hibericum_3;574.596;1973.084
byzantion;propontis;2808.936;2403.251
ebusus;mare_hibericum_12;950.668;2121.958
palma;mare_hibericum_11;1037.521;2174.005
guium;mare_hibericum_11;1054.107;2155.061
pollentia_0;mare_balearium_2;1073.315;2194.133
tuci;mare_sardoum_15;1082.397;2164.246
mago;mare_balearium_2;1133.037;2214.41
cossyra;fretum_siculum_5;1682.605;1908.047
melita;fretum_melitense_2;1860.071;1832.153
liparae;mare_tyrrenum;1891.182;2067.16
marah;prov652_1;3345.056;1436.76
phoinikon;prov652_0;3307.008;1482.158
kalymnos;mare_icarium_2;2744.226;2027.964
pharan;prov652_1;3364.245;1417.224
rhaithou;sinus_heroopoliticus;3412.706;1367.667
nuweiba;prov653_0;3477.806;1464.362
tell_el_mashraba;prov653_1;3477.707;1405.925
phasis;pontus_euxinus_4;3609.709;2717.755
pichvnari;pontus_euxinus_4;3620.931;2701.803
apasidam;pontus_euxinus_4;3623.002;2691.591
bathys_limen;pontus_euxinus_4;3616.954;2672.908
apsaros_0;pontus_euxinus_4;3612.764;2655.615
kissa_0;pontus_euxinus_4;3602.851;2642.802
athenai_pontikai;pontus_euxinus_3;3578.749;2616.701
rhizaion;pontus_euxinus_3;3568.181;2605.757
ophis;pontus_euxinus_3;3553.353;2593.663
hyssos;pontus_euxinus_3;3538.37;2588.454
trapezous;pontus_euxinus_3;3520.521;2586.46
ziganne;pontus_euxinus_4;3584.503;2752.482
gyenos;pontus_euxinus_4;3563.335;2767.348
dioscurias;pontus_euxinus_13;3542.238;2778.561
anakopia;pontus_euxinus_13;3518.931;2779.942
pityous;pontus_euxinus_13;3486.07;2786.808
masaitike;pontus_euxinus_13;3452.665;2799.65
samothrake;mare_thracum_0;2589.128;2322.446
side_pontike;pontus_euxinus_2;3371.141;2546.844
kotyora;pontus_euxinus_2;3393.99;2551.529
koralla;pontus_euxinus_3;3473.57;2576.537
kerasous;pontus_euxinus_3;3438.436;2554.337
themiskyra;pontus_euxinus_2;3331.423;2558.979
amisos;pontus_euxinus_2;3289.205;2548.913
gadilon;pontus_euxinus_2;3270.073;2567.466
zaliches;pontus_euxinus_2;3225.491;2562.473
sinope;pontus_euxinus_2;3194.058;2582.683
stephane;pontus_euxinus_1;3157.679;2573.601
abonouteichos;pontus_euxinus_1;3120.094;2566.571
karambis;pontus_euxinus_1;3094.546;2562.49
lindos;mare_lycium_3;2839.763;1961.477
delos;mare_aegaeum_0;2632.84;2049.11
physkos;mare_lycium_2;2844.545;2028.541
aigaiai;mare_phoenicium_4;3372.316;2150.15
mopsouestia;pyramus_1;3349.283;2171.228
mallos;pyramus_0;3338.085;2145.687
tarsus;cydnus;3307.711;2145.3
syme;mare_icarium_0;2816.948;2011.538
soloi_1;mare_cilicium_0;3288.205;2125.595
magarsa;mare_phoenicium_4;3344.913;2120.393
holmoi;mare_cilicium_0;3247.678;2070.769
elaioussa;mare_cilicium_0;3268.74;2101.103
kelenderis;mare_cilicium_1;3222.944;2050.18
anemourion;mare_cilicium_1;3182.645;2032.725
andros;mare_aegaeum_8;2587.637;2089.373
selinous_kilikias;mare_cilicium_1;3141.158;2036.487
korakesion;mare_lycium_0;3099.477;2061.885
lairtes;mare_lycium_0;3122.722;2052.385
side;mare_lycium_0;3063.178;2070.342
sillyon;mare_lycium_0;3032.363;2072.37
paros;mare_aegaeum_0;2625.812;2025.434
milos;mare_myrtoum_0;2576.619;1983.074
kos;mare_icarium_0;2771.838;2018.87
priene;mare_icarium_2;2766.97;2088.362
miletos;mare_icarium_2;2761.645;2080.269
samos;mare_icarium_3;2735.017;2090.965
halikarnassos;mare_icarium_0;2779.987;2036.926
idyma;mare_icarium_0;2834.6;2045.644
knidos;mare_icarium_0;2784.979;2007.077
kaunos;mare_lycium_2;2865.965;2033.014
telmessos;mare_lycium_2;2900.476;2029.503
xanthos;mare_lycium_1;2920.228;1999.024
astypalaia;mare_icarium_1;2715.651;1984.796
patara;mare_lycium_1;2928.664;1994.9
deventiasteno;mare_britannicum_4;676.411;3171.531
fortis_vallum;mare_britannicum_4;717.897;3175.572
herakleous_akron;mare_verginium_8;689.625;3212.394
isca_dumnoniorum;mare_britannicum_5;758.0;3188.0
nemetia;mare_verginium_11;718.956;3238.694
iscalis;mare_verginium_10;747.109;3253.652
olconum;mare_britannicum_9;786.206;3198.127
durnovaria;mare_britannicum_9;819.179;3186.972
lindinis;mare_verginium_10;784.813;3245.56
aquae_sulis;mare_verginium_10;795.35;3255.631
vindocladia;mare_britannicum_8;862.121;3190.699
venta;mare_britannicum_8;904.358;3189.546
vectis;mare_britannicum_8;887.679;3174.807
noviomagus_durotrigiorum;mare_britannicum_8;914.164;3185.955
novus_portus;mare_britannicum_11;943.507;3189.803
anderitum;mare_britannicum_11;993.423;3187.307
durovernum;fretum_gallicum;1040.886;3218.139
londinium;tamesis;976.748;3257.142
vagniacis;mare_germanicum_3;1006.329;3240.904
abona;mare_verginium_10;814.263;3269.211
camulodunum;mare_germanicum_3;1017.92;3255.975
combretovium;mare_germanicum_3;1046.441;3283.314
branodunum;mare_germanicum_1;1004.692;3373.788
garrianonum;mare_germanicum_2;1070.948;3340.699
aspallitorum;mare_germanicum_2;1062.695;3305.5
denevia;mare_germanicum_1;989.719;3366.793
corinium;mare_verginium_10;853.0;3289.0
glevum;mare_verginium_10;804.905;3272.041
deva;mare_hibernicum_4;815.986;3438.476
bannovallum;mare_germanicum_1;993.665;3386.271
causennae;mare_germanicum_1;984.923;3375.528
coccium;mare_hibernicum_4;818.582;3453.753
portus_setantiorum;mare_hibernicum_7;826.995;3480.537
eboracum;abus;958.388;3448.369
derventio;mare_germanicum_0;989.696;3437.179
dictium;mare_septentrionale_6;958.275;3519.512
calunium;mare_hibernicum_7;838.724;3500.584
galava;mare_hibernicum_7;829.322;3504.37
gabrosentum;mare_hibernicum_8;804.533;3530.829
luguvalium;mare_hibernicum_8;819.212;3566.743
vinovia;mare_septentrionale_6;934.002;3539.427
vindolava;mare_septentrionale_6;926.531;3560.281
habitancum;mare_septentrionale_5;921.108;3582.719
bremenium;mare_septentrionale_5;914.326;3625.552
blatobulgium;mare_hibernicum_8;820.247;3578.514
burrium;mare_verginium_10;796.099;3268.926
bornium;mare_verginium_10;764.228;3266.015
nidum;mare_verginium_10;749.232;3284.836
moridunum;mare_verginium_11;724.318;3298.949
dolaucothi;mare_hibernicum_2;739.24;3347.044
oktapitaron_akron;mare_verginium_12;684.177;3314.514
carona;mare_hibernicum_2;750.966;3366.543
ganganon_akron;mare_hibernicum_2;748.544;3401.173
seguntium;mare_hibernicum_3;734.651;3442.563
canovium;mare_hibernicum_4;799.567;3436.522
manavia;mare_hibernicum_6;740.0;3507.0
novantae;mare_hibernicum_10;731.779;3595.822
selgovae;mare_hibernicum_8;790.404;3566.079
otadini;mare_septentrionale_4;886.573;3657.746
damnonii;mare_hibernicum_10;762.982;3637.024
veluniate;mare_septentrionale_4;846.671;3664.037
venicones;mare_septentrionale_4;859.764;3681.169
taexali;mare_septentrionale_3;916.399;3761.35
epidii;mare_hibernicum_10;748.072;3657.253
creones_boreales;oceanus_atlanticus_60;721.989;3759.251
carnonacae;oceanus_atlanticus_67;740.824;3825.341
caledonii;mare_septentrionale_0;817.832;3808.974
caereni;oceanus_atlanticus_67;770.17;3869.61
cornavii;mare_orcadum;819.666;3900.924
vacomagi;mare_septentrionale_0;847.113;3817.202
lindon;mare_hibernicum_10;755.398;3649.587
taixalon_akron;mare_septentrionale_2;915.396;3809.213
epidion_akron;mare_hibernicum_10;721.861;3641.276
malaios;oceanus_atlanticus_59;699.274;3714.38
scitis;oceanus_atlanticus_61;707.078;3827.136
dumna_borealis;oceanus_atlanticus_61;706.925;3860.272
dumna_australis;oceanus_atlanticus_61;670.613;3824.693
ouirouedroum_akron;mare_septentrionale_0;852.809;3856.067
orcades;mare_orcadum;890.26;3922.367
pinnata_castra;mare_septentrionale_4;878.358;3706.749
coriallum;mare_britannicum_13;858.495;3096.251
aluna;mare_britannicum_1;843.957;3063.384
crouciaconnum;mare_britannicum_2;888.912;3070.332
cosedia;mare_britannicum_1;847.172;3049.505
augustodurum;mare_britannicum_2;913.877;3062.993
ingena;mare_britannicum_0;845.945;3019.553
reginca;mare_britannicum_0;808.652;3009.485
dolus;mare_britannicum_0;839.559;3006.629
dariorigum;mare_cantabrum_12;758.176;2913.386
vorganium;mare_verginium_0;656.348;3004.306
gesoscribate;mare_verginium_0;678.602;2985.368
grannona;mare_cantabrum_12;780.565;2891.487
pollicum;mare_cantabrum_12;731.203;2934.5
agritore;mare_cantabrum_13;687.193;2956.531
osismetum;mare_britannicum_0;781.193;3006.929
tregoritum;mare_britannicum_0;747.071;3039.272
leonitia;mare_verginium_0;708.453;3031.765
ivernia;oceanus_atlanticus_41;419.608;3347.773
usdia_occidentalis;mare_verginium_16;516.102;3342.25
coriondia_borealis;mare_hibernicum_0;648.644;3411.327
gangania;oceanus_atlanticus_42;496.531;3474.672
autenia_australis;oceanus_atlanticus_42;488.123;3480.329
nagnatia_occidentalis;oceanus_atlanticus_46;548.635;3577.955
darinia_borealis;mare_hibernicum_10;698.348;3575.743
robogdia_occidentalis;mare_hibernicum_12;647.578;3626.269
venicnia_australis;oceanus_atlanticus_46;563.131;3590.375
ivernia_borealis;oceanus_atlanticus_41;413.694;3362.302
